role,name,team
student,e0373972,TIC4002-F18-1
student,zcnmashleu95,TIC4002-F18-1
student,spencernah,TIC4002-F18-1
student,IcyNoPeople,TIC4002-F18-1
student,hana-oxy,TIC4002-F18-2
student,zyjarvis,TIC4002-F18-2
student,badfr0g,TIC4002-F18-2
student,sohwkjames,TIC4002-F18-2
student,l-shihao,TIC4002-F18-3
student,yinyin377,TIC4002-F18-3
student,chenghuiyuan,TIC4002-F18-3
student,jr-mojito,TIC4002-F18-3
student,yaololo,TIC4002-F18-4
student,TanChiaChun,TIC4002-F18-4
student,ivanhlb,TIC4002-F18-4
student,Opkko,TIC4002-F18-4
student,gweeyc,TIC4002-F18-5
student,YangShuogeng,TIC4002-F18-5
student,thisisdax,TIC4002-F18-5
student,Elxyng,TIC4002-F18-5
student,lowyanshuang,TIC4002-F18-5
student,e0262191,TIC4002-F18-6
student,KaydenKhor,TIC4002-F18-6
student,Mr-YaRou,TIC4002-F18-6
student,Ruiting1,TIC4002-F18-6
student,damithc,teaching-team
